"","V1"
"Mean Tender Price A",42.308081943731
"Mean Tender Price B",63.9933123661274
"SD Tender Price A",14.0863342831859
"SD Tender Price B",23.3767872004276
"Mean El Price A",37.4086286437942
"Mean El Price B",36.827399463376
"SD El Price A",2.99859642165926
"SD El Price B",2.68007839977454
"Mean Diff El Price AB",0.58122918041817
"Mean SR A",1.62968108383277
"Mean SR B",1.8476955939635
"SD SR A",0.136724861527454
"SD SR B",0.182395279856344
