hour,nl_node_1,nl_node_2,nl_node_3
187,0.60686,0.46397,0.35325
188,0.60686,0.46397,0.35325
189,0.68297,0.52216,0.39755
190,0.75821,0.57968,0.44135
191,0.75821,0.57968,0.44135
192,0.84158,0.64343,0.48988
193,0.92062,0.70386,0.53589
194,0.92062,0.70386,0.53589
195,0.97542,0.74575,0.56779
196,1.02620,0.78458,0.59735
197,1.02620,0.78458,0.59735
198,1.04263,0.79713,0.60691
199,1.05846,0.80924,0.61612
200,1.05846,0.80924,0.61612
201,1.09989,0.84091,0.64024
202,1.13572,0.86831,0.66110
203,1.13572,0.86831,0.66110
204,1.14450,0.87502,0.66621
205,1.15279,0.88136,0.67104
206,1.15279,0.88136,0.67104
207,1.15334,0.88178,0.67135
208,1.15388,0.88219,0.67167
209,1.15388,0.88219,0.67167
210,1.16939,0.89405,0.68070
211,1.18262,0.90417,0.68840
212,1.18262,0.90417,0.68840
213,1.17455,0.89799,0.68370
214,1.16555,0.89111,0.67846
215,1.16555,0.89111,0.67846
216,1.15667,0.88432,0.67329
217,1.14709,0.87700,0.66771
218,1.14709,0.87700,0.66771
219,1.08470,0.82930,0.63140
220,1.00614,0.76923,0.58567
221,1.00614,0.76923,0.58567
222,0.97143,0.74270,0.56546
223,0.93494,0.71480,0.54422
224,0.93494,0.71480,0.54422
225,0.90395,0.69111,0.52618
226,0.87202,0.66670,0.50760
227,0.87202,0.66670,0.50760
228,0.83000,0.63457,0.48314
229,0.78687,0.60160,0.45803
230,0.78687,0.60160,0.45803
231,0.76368,0.58387,0.44454
232,0.74029,0.56598,0.43092
233,0.74029,0.56598,0.43092
234,0.67396,0.51527,0.39231
235,0.60706,0.46413,0.35337
236,0.60706,0.46413,0.35337
237,0.59988,0.45863,0.34919
238,0.59269,0.45314,0.34500
239,0.59269,0.45314,0.34500
240,0.59312,0.45346,0.34525
241,0.59354,0.45379,0.34550
242,0.59354,0.45379,0.34550
243,0.56965,0.43552,0.33159
244,0.54584,0.41732,0.31773
245,0.54584,0.41732,0.31773
246,0.49320,0.37707,0.28709
247,0.44155,0.33758,0.25702
248,0.44155,0.33758,0.25702
249,0.43417,0.33194,0.25273
250,0.42683,0.32633,0.24846
251,0.42683,0.32633,0.24846
252,0.41338,0.31605,0.24063
253,0.40005,0.30585,0.23287
254,0.40005,0.30585,0.23287
255,0.30012,0.22945,0.17470
256,0.21138,0.16161,0.12304
257,0.21138,0.16161,0.12304
258,0.24137,0.18454,0.14050
259,0.27307,0.20877,0.15895
260,0.27307,0.20877,0.15895
261,0.25482,0.19482,0.14833
262,0.23710,0.18128,0.13802
263,0.23710,0.18128,0.13802
264,0.18913,0.14460,0.11009
265,0.14658,0.11207,0.08533
266,0.14658,0.11207,0.08533
267,0.10332,0.07899,0.06014
268,0.07039,0.05382,0.04098
269,0.07039,0.05382,0.04098
270,0.09308,0.07116,0.05418
271,0.12135,0.09277,0.07063
272,0.12135,0.09277,0.07063
273,0.17285,0.13215,0.10062
274,0.23407,0.17896,0.13625
275,0.23407,0.17896,0.13625
276,0.29823,0.22801,0.17360
277,0.36805,0.28139,0.21424
278,0.36805,0.28139,0.21424
279,0.40703,0.31119,0.23693
280,0.44705,0.34179,0.26023
281,0.44705,0.34179,0.26023
282,0.56209,0.42974,0.32719
283,0.67940,0.51943,0.39548
284,0.67940,0.51943,0.39548
285,0.69561,0.53182,0.40491
286,0.71176,0.54417,0.41431
287,0.71176,0.54417,0.41431
288,0.75067,0.57392,0.43696
289,0.78907,0.60328,0.45931
290,0.78907,0.60328,0.45931
291,0.79146,0.60510,0.46070
292,0.79384,0.60692,0.46209
293,0.79384,0.60692,0.46209
294,0.83413,0.63773,0.48554
295,0.87344,0.66778,0.50842
296,0.87344,0.66778,0.50842
297,0.86078,0.65810,0.50106
298,0.84801,0.64834,0.49362
299,0.84801,0.64834,0.49362
300,0.80032,0.61188,0.46586
301,0.75146,0.57452,0.43742
302,0.75146,0.57452,0.43742
303,0.71834,0.54920,0.41814
304,0.68495,0.52367,0.39871
305,0.68495,0.52367,0.39871
306,0.68423,0.52312,0.39829
307,0.68351,0.52257,0.39787
308,0.68351,0.52257,0.39787
309,0.63125,0.48261,0.36745
310,0.57895,0.44263,0.33700
311,0.57895,0.44263,0.33700
312,0.50653,0.38726,0.29485
313,0.43578,0.33317,0.25367
314,0.43578,0.33317,0.25367
315,0.34961,0.26730,0.20351
316,0.26991,0.20636,0.15711
317,0.26991,0.20636,0.15711
318,0.24519,0.18746,0.14272
319,0.22149,0.16934,0.12893
320,0.22149,0.16934,0.12893
321,0.21405,0.16365,0.12460
322,0.20673,0.15806,0.12034
323,0.20673,0.15806,0.12034
324,0.19281,0.14741,0.11223
325,0.17936,0.13713,0.10440
326,0.17936,0.13713,0.10440
327,0.17360,0.13272,0.10105
328,0.16794,0.12840,0.09776
329,0.16794,0.12840,0.09776
330,0.20618,0.15764,0.12002
331,0.24814,0.18972,0.14444
332,0.24814,0.18972,0.14444
333,0.23555,0.18009,0.13711
334,0.22325,0.17068,0.12995
335,0.22325,0.17068,0.12995
336,0.20956,0.16022,0.12198
337,0.19628,0.15006,0.11425
338,0.19628,0.15006,0.11425
339,0.15793,0.12074,0.09193
340,0.12414,0.09491,0.07226
341,0.12414,0.09491,0.07226
342,0.13343,0.10201,0.07767
343,0.14314,0.10943,0.08332
344,0.14314,0.10943,0.08332
345,0.14260,0.10902,0.08300
346,0.14206,0.10861,0.08269
347,0.14206,0.10861,0.08269
348,0.11137,0.08515,0.06483
349,0.08563,0.06547,0.04984
350,0.08563,0.06547,0.04984
351,0.08586,0.06564,0.04998
352,0.08609,0.06582,0.05011
353,0.08609,0.06582,0.05011
354,0.11582,0.08855,0.06742
355,0.15184,0.11608,0.08838
356,0.15184,0.11608,0.08838
357,0.16281,0.12447,0.09477
358,0.17419,0.13318,0.10140
359,0.17419,0.13318,0.10140
360,0.19388,0.14823,0.11286
361,0.21460,0.16407,0.12492
362,0.21460,0.16407,0.12492
363,0.27425,0.20968,0.15964
364,0.33961,0.25965,0.19769
365,0.33961,0.25965,0.19769
366,0.46470,0.35528,0.27050
367,0.59744,0.45677,0.34777
368,0.59744,0.45677,0.34777
369,0.63631,0.48649,0.37039
370,0.67513,0.51617,0.39299
371,0.67513,0.51617,0.39299
372,0.68706,0.52528,0.39993
373,0.69896,0.53438,0.40686
374,0.69896,0.53438,0.40686
375,0.74214,0.56740,0.43200
376,0.78475,0.59997,0.45680
377,0.78475,0.59997,0.45680
378,0.74500,0.56959,0.43366
379,0.70474,0.53880,0.41023
380,0.70474,0.53880,0.41023
381,0.67506,0.51612,0.39295
382,0.64528,0.49334,0.37561
383,0.64528,0.49334,0.37561
384,0.54148,0.41399,0.31519
385,0.44006,0.33645,0.25616
386,0.44006,0.33645,0.25616
387,0.27207,0.20801,0.15837
388,0.13876,0.10609,0.08077
