hour,de_node
1,0.000001130
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
6,0.002172900
7,0.004345900
8,0.006518800
9,0.019071900
10,0.031625000
11,0.044178100
12,0.044046900
13,0.043915800
14,0.043784600
15,0.033115200
16,0.022445700
17,0.011776300
18,0.007866700
19,0.003957100
20,0.000047500
21,0.000032300
22,0.000017100
23,0.000001920
24,0.000001600
25,0.000001290
26,0.000000968
27,0.000000645
28,0.000000323
29,0.000000000
30,0.001724400
31,0.003448800
32,0.005173300
33,0.023462800
34,0.041752400
35,0.060041900
36,0.063779700
37,0.067517500
38,0.071255300
39,0.054697500
40,0.038139700
41,0.021581800
42,0.014431300
43,0.007280800
44,0.000130300
45,0.000087400
46,0.000044600
47,0.000001780
48,0.000001180
49,0.000000592
50,0.000000000
51,0.000000000
52,0.000000000
53,0.000000000
54,0.002893700
55,0.005787300
56,0.008681000
57,0.028370800
58,0.048060500
59,0.067750300
60,0.068734800
61,0.069719400
62,0.070703900
63,0.053725400
64,0.036746900
65,0.019768400
66,0.013217200
67,0.006666000
68,0.000114800
69,0.000078400
70,0.000042100
71,0.000005760
72,0.000004810
73,0.000003860
74,0.000002900
75,0.000001940
76,0.000000968
77,0.000000000
78,0.003579600
79,0.007159100
80,0.010738700
81,0.037826000
82,0.064913300
83,0.092000600
84,0.095640500
85,0.099280500
86,0.102920500
87,0.078702200
88,0.054483900
89,0.030265600
90,0.020240800
91,0.010216100
92,0.000191400
93,0.000128600
94,0.000065700
95,0.000002880
96,0.000002400
97,0.000001930
98,0.000001450
99,0.000000968
100,0.000000484
101,0.000000000
102,0.004279800
103,0.008559600
104,0.012839300
105,0.039142000
106,0.065444700
107,0.091747300
108,0.093298100
109,0.094848900
110,0.096399700
111,0.073358200
112,0.050316600
113,0.027275100
114,0.018242300
115,0.009209400
116,0.000176600
117,0.000120000
118,0.000063400
119,0.000006860
120,0.000005490
121,0.000004110
122,0.000002740
123,0.000001830
124,0.000000914
125,0.000000000
126,0.003380900
127,0.006761800
128,0.010142700
129,0.034894900
130,0.059647100
131,0.084399300
132,0.083988500
133,0.083577600
134,0.083166800
135,0.062773900
136,0.042381000
137,0.021988100
138,0.014694000
139,0.007399800
140,0.000105700
141,0.000071700
142,0.000037800
143,0.000003840
144,0.000003200
145,0.000002570
146,0.000001940
147,0.000001290
148,0.000000645
149,0.000000000
150,0.003243600
151,0.006487100
152,0.009730700
153,0.034418200
154,0.059105800
155,0.083793300
156,0.087687700
157,0.091582100
158,0.095476500
159,0.073142000
160,0.050807500
161,0.028473000
162,0.019046400
163,0.009619800
164,0.000193200
165,0.000130800
166,0.000068400
167,0.000006080
168,0.000005070
169,0.000004070
170,0.000003070
171,0.000002040
172,0.000001020
173,0.000000000
174,0.001955600
175,0.003911100
176,0.005866700
177,0.021817800
178,0.037768900
179,0.053720000
180,0.053691700
181,0.053663300
182,0.053635000
183,0.040551500
184,0.027468100
185,0.014384600
186,0.009631000
187,0.004877400
188,0.000123800
189,0.000084300
190,0.000044900
191,0.000005440
192,0.000004540
193,0.000003640
194,0.000002740
195,0.000001830
196,0.000000914
197,0.000000000
198,0.001229800
199,0.002459600
200,0.003689400
201,0.013088200
202,0.022487000
203,0.031885800
204,0.032432500
205,0.032979300
206,0.033526000
207,0.025484600
208,0.017443100
209,0.009401600
210,0.006289500
211,0.003177400
212,0.000065400
213,0.000045200
214,0.000025000
215,0.000004800
216,0.000004010
217,0.000003210
218,0.000002420
219,0.000001610
220,0.000000807
221,0.000000000
222,0.001097300
223,0.002194600
224,0.003292000
225,0.012329300
226,0.021366600
227,0.030404000
228,0.033937800
229,0.037471700
230,0.041005500
231,0.031868700
232,0.022731900
233,0.013595000
234,0.009101600
235,0.004608100
236,0.000114700
237,0.000076800
238,0.000038900
239,0.000000968
240,0.000000645
241,0.000000323
242,0.000000000
243,0.000000000
244,0.000000000
245,0.000000000
246,0.001640300
247,0.003280600
248,0.004920800
249,0.017276900
250,0.029633000
251,0.041989100
252,0.043934100
253,0.045879000
254,0.047823900
255,0.036636000
256,0.025448000
257,0.014260100
258,0.009538300
259,0.004816600
260,0.000094900
261,0.000064600
262,0.000034200
263,0.000003840
264,0.000003200
265,0.000002570
266,0.000001940
267,0.000001290
268,0.000000645
269,0.000000000
270,0.003269200
271,0.006538500
272,0.009807700
273,0.037631800
274,0.065456000
275,0.093280100
276,0.099290200
277,0.105300200
278,0.111310200
279,0.085649600
280,0.059989000
281,0.034328500
282,0.022995800
283,0.011663100
284,0.000330400
285,0.000222500
286,0.000114600
287,0.000006720
288,0.000005610
289,0.000004500
290,0.000003390
291,0.000002260
292,0.000001130
293,0.000000000
294,0.003039600
295,0.006079200
296,0.009118700
297,0.031344200
298,0.053569700
299,0.075795200
300,0.076690300
301,0.077585400
302,0.078480400
303,0.059593400
304,0.040706400
305,0.021819400
306,0.014604600
307,0.007389700
308,0.000174900
309,0.000118400
310,0.000061900
311,0.000005440
312,0.000004540
313,0.000003640
314,0.000002740
315,0.000001830
316,0.000000914
317,0.000000000
318,0.003636900
319,0.007273700
320,0.010910600
321,0.037520400
322,0.064130200
323,0.090740000
324,0.096881200
325,0.103022500
326,0.109163700
327,0.084144700
328,0.059125700
329,0.034106700
330,0.022860900
331,0.011615100
332,0.000369300
333,0.000247800
334,0.000126300
335,0.000004870
336,0.000003890
337,0.000002910
338,0.000001940
339,0.000001290
340,0.000000645
341,0.000000000
342,0.005221900
343,0.010443700
344,0.015665600
345,0.047262100
346,0.078858600
347,0.110455200
348,0.111523000
