hour,de_node_1,de_node_2,de_node_3
188,0.57322,0.51610,0.45542
189,0.58380,0.52562,0.46382
190,0.59429,0.53506,0.47215
191,0.59429,0.53506,0.47215
192,0.63083,0.56797,0.50118
193,0.66583,0.59948,0.52899
194,0.66583,0.59948,0.52899
195,0.72313,0.65107,0.57451
196,0.77293,0.69591,0.61408
197,0.77293,0.69591,0.61408
198,0.79411,0.71497,0.63090
199,0.81288,0.73188,0.64582
200,0.81288,0.73188,0.64582
201,0.82335,0.74130,0.65414
202,0.83274,0.74976,0.66160
203,0.83274,0.74976,0.66160
204,0.85632,0.77099,0.68033
205,0.86431,0.77818,0.68667
206,0.86431,0.77818,0.68667
207,0.85804,0.77253,0.68169
208,0.83932,0.75568,0.66682
209,0.83932,0.75568,0.66682
210,0.84225,0.75832,0.66915
211,0.84500,0.76079,0.67133
212,0.84500,0.76079,0.67133
213,0.81975,0.73806,0.65127
214,0.78308,0.70504,0.62214
215,0.78308,0.70504,0.62214
216,0.77822,0.70067,0.61828
217,0.77320,0.69615,0.61429
218,0.77320,0.69615,0.61429
219,0.77626,0.69890,0.61672
220,0.77925,0.70160,0.61910
221,0.77925,0.70160,0.61910
222,0.79736,0.71790,0.63349
223,0.81315,0.73212,0.64603
224,0.81315,0.73212,0.64603
225,0.82133,0.73948,0.65253
226,0.82874,0.74616,0.65842
227,0.82874,0.74616,0.65842
228,0.83740,0.75395,0.66530
229,0.84479,0.76060,0.67117
230,0.84479,0.76060,0.67117
231,0.85884,0.77326,0.68233
232,0.86422,0.77810,0.68660
233,0.86422,0.77810,0.68660
234,0.86272,0.77675,0.68542
235,0.85648,0.77113,0.68046
236,0.85648,0.77113,0.68046
237,0.84611,0.76180,0.67222
238,0.83182,0.74892,0.66086
239,0.83182,0.74892,0.66086
240,0.82577,0.74348,0.65606
241,0.81926,0.73762,0.65089
242,0.81926,0.73762,0.65089
243,0.78856,0.70998,0.62650
244,0.75149,0.67660,0.59704
245,0.75149,0.67660,0.59704
246,0.75550,0.68021,0.60023
247,0.75945,0.68377,0.60337
248,0.75945,0.68377,0.60337
249,0.75426,0.67910,0.59925
250,0.74897,0.67434,0.59504
251,0.74897,0.67434,0.59504
252,0.74193,0.66800,0.58945
253,0.73473,0.66152,0.58373
254,0.73473,0.66152,0.58373
255,0.68327,0.61518,0.54285
256,0.62640,0.56398,0.49766
257,0.62640,0.56398,0.49766
258,0.61491,0.55363,0.48853
259,0.60328,0.54316,0.47929
260,0.60328,0.54316,0.47929
261,0.58906,0.53035,0.46799
262,0.57466,0.51739,0.45655
263,0.57466,0.51739,0.45655
264,0.56627,0.50984,0.44989
265,0.55783,0.50224,0.44319
266,0.55783,0.50224,0.44319
267,0.47447,0.42719,0.37696
268,0.38970,0.35087,0.30961
269,0.38970,0.35087,0.30961
270,0.34042,0.30650,0.27046
271,0.29227,0.26315,0.23220
272,0.29227,0.26315,0.23220
273,0.26693,0.24033,0.21207
274,0.24218,0.21804,0.19241
275,0.24218,0.21804,0.19241
276,0.25114,0.22612,0.19953
277,0.26020,0.23427,0.20672
278,0.26020,0.23427,0.20672
279,0.30109,0.27108,0.23921
280,0.34320,0.30900,0.27267
281,0.34320,0.30900,0.27267
282,0.38511,0.34673,0.30596
283,0.42745,0.38485,0.33960
284,0.42745,0.38485,0.33960
285,0.46251,0.41642,0.36745
286,0.49740,0.44784,0.39518
287,0.49740,0.44784,0.39518
288,0.52297,0.47085,0.41549
289,0.54825,0.49361,0.43557
290,0.54825,0.49361,0.43557
291,0.60193,0.54194,0.47822
292,0.65297,0.58790,0.51877
293,0.65297,0.58790,0.51877
294,0.69262,0.62359,0.55027
295,0.72937,0.65668,0.57947
296,0.72937,0.65668,0.57947
297,0.73299,0.65994,0.58234
298,0.73657,0.66317,0.58519
299,0.73657,0.66317,0.58519
300,0.72462,0.65241,0.57569
301,0.71228,0.64130,0.56589
302,0.71228,0.64130,0.56589
303,0.73411,0.66095,0.58324
304,0.75465,0.67945,0.59955
305,0.75465,0.67945,0.59955
306,0.76145,0.68557,0.60496
307,0.76808,0.69154,0.61022
308,0.76808,0.69154,0.61022
309,0.75823,0.68267,0.60240
310,0.74800,0.67346,0.59427
311,0.74800,0.67346,0.59427
312,0.74224,0.66827,0.58969
313,0.73637,0.66299,0.58503
314,0.73637,0.66299,0.58503
315,0.70685,0.63641,0.56158
316,0.67525,0.60796,0.53647
317,0.67525,0.60796,0.53647
318,0.66159,0.59566,0.52562
319,0.64764,0.58310,0.51454
320,0.64764,0.58310,0.51454
321,0.63533,0.57202,0.50476
322,0.62283,0.56076,0.49483
323,0.62283,0.56076,0.49483
324,0.59082,0.53194,0.46940
325,0.55789,0.50229,0.44323
326,0.55789,0.50229,0.44323
327,0.50179,0.45178,0.39866
328,0.44461,0.40031,0.35324
329,0.44461,0.40031,0.35324
330,0.41536,0.37397,0.33000
331,0.38619,0.34771,0.30682
332,0.38619,0.34771,0.30682
333,0.36211,0.32602,0.28769
334,0.33823,0.30452,0.26872
335,0.33823,0.30452,0.26872
336,0.31029,0.27937,0.24652
337,0.28286,0.25467,0.22472
338,0.28286,0.25467,0.22472
339,0.24515,0.22072,0.19477
340,0.20900,0.18817,0.16605
341,0.20900,0.18817,0.16605
342,0.20809,0.18736,0.16533
343,0.20719,0.18654,0.16461
344,0.20719,0.18654,0.16461
345,0.21044,0.18947,0.16719
346,0.21372,0.19242,0.16979
347,0.21372,0.19242,0.16979
348,0.19782,0.17811,0.15717
349,0.18233,0.16416,0.14486
350,0.18233,0.16416,0.14486
351,0.20086,0.18084,0.15958
352,0.21995,0.19804,0.17475
353,0.21995,0.19804,0.17475
354,0.25165,0.22657,0.19993
355,0.28446,0.25611,0.22599
356,0.28446,0.25611,0.22599
357,0.28388,0.25559,0.22554
358,0.28331,0.25508,0.22508
359,0.28331,0.25508,0.22508
360,0.31451,0.28317,0.24987
361,0.34633,0.31182,0.27515
362,0.34633,0.31182,0.27515
363,0.38803,0.34937,0.30829
364,0.43013,0.38726,0.34173
365,0.43013,0.38726,0.34173
366,0.50176,0.45176,0.39864
367,0.57170,0.51473,0.45421
368,0.57170,0.51473,0.45421
369,0.62804,0.56545,0.49896
370,0.68084,0.61299,0.54091
371,0.68084,0.61299,0.54091
372,0.69960,0.62988,0.55582
373,0.71765,0.64613,0.57016
374,0.71765,0.64613,0.57016
375,0.76782,0.69130,0.61001
376,0.80918,0.72854,0.64288
377,0.80918,0.72854,0.64288
378,0.81674,0.73535,0.64888
379,0.82380,0.74170,0.65449
380,0.82380,0.74170,0.65449
381,0.81331,0.73227,0.64616
382,0.80179,0.72189,0.63701
383,0.80179,0.72189,0.63701
384,0.77892,0.70130,0.61883
385,0.75320,0.67814,0.59840
386,0.75320,0.67814,0.59840
387,0.69537,0.62608,0.55246
388,0.62975,0.56700,0.50033
389,0.62975,0.56700,0.50033
390,0.56704,0.51053,0.45050
391,0.50138,0.45141,0.39833
392,0.50138,0.45141,0.39833
393,0.42593,0.38349,0.33839
394,0.35070,0.31576,0.27863
395,0.35070,0.31576,0.27863
396,0.24894,0.22414,0.19778
397,0.15761,0.14191,0.12522
398,0.15761,0.14191,0.12522
399,0.10353,0.09322,0.08226
400,0.05921,0.05331,0.04704
401,0.05921,0.05331,0.04704
402,0.03674,0.03308,0.02919
403,0.01965,0.01769,0.01561
404,0.01965,0.01769,0.01561
405,0.00797,0.00717,0.00633
406,0.00353,0.00318,0.00281
407,0.00353,0.00318,0.00281
408,0.00366,0.00329,0.00291
409,0.00437,0.00393,0.00347
410,0.00437,0.00393,0.00347
411,0.00385,0.00347,0.00306
412,0.00357,0.00321,0.00283
413,0.00357,0.00321,0.00283
414,0.00466,0.00420,0.00371
415,0.00913,0.00822,0.00725
416,0.00913,0.00822,0.00725
417,0.01361,0.01226,0.01081
418,0.01932,0.01739,0.01535
419,0.01932,0.01739,0.01535
420,0.03050,0.02746,0.02424
421,0.04436,0.03994,0.03525
422,0.04436,0.03994,0.03525
423,0.09639,0.08678,0.07658
424,0.16442,0.14803,0.13063
425,0.16442,0.14803,0.13063
426,0.13787,0.12413,0.10953
427,0.11314,0.10186,0.08989
428,0.11314,0.10186,0.08989
429,0.07988,0.07192,0.06346
430,0.05178,0.04662,0.04114
431,0.05178,0.04662,0.04114
432,0.03215,0.02895,0.02554
433,0.01730,0.01557,0.01374
434,0.01730,0.01557,0.01374
435,0.06849,0.06166,0.05441
436,0.14956,0.13465,0.11882
437,0.14956,0.13465,0.11882
438,0.18694,0.16831,0.14852
439,0.22701,0.20439,0.18036
440,0.22701,0.20439,0.18036
441,0.24449,0.22013,0.19424
442,0.26232,0.23618,0.20841
443,0.26232,0.23618,0.20841
444,0.24090,0.21689,0.19139
445,0.21999,0.19807,0.17478
446,0.21999,0.19807,0.17478
447,0.23392,0.21061,0.18585
448,0.24810,0.22337,0.19711
449,0.24810,0.22337,0.19711
450,0.26065,0.23468,0.20708
451,0.27336,0.24612,0.21718
452,0.27336,0.24612,0.21718
453,0.27665,0.24908,0.21979
454,0.27995,0.25205,0.22242
455,0.27995,0.25205,0.22242
456,0.30517,0.27476,0.24245
457,0.33083,0.29786,0.26284
458,0.33083,0.29786,0.26284
459,0.37856,0.34084,0.30076
460,0.42692,0.38438,0.33918
461,0.42692,0.38438,0.33918
462,0.44518,0.40082,0.35369
463,0.46343,0.41724,0.36818
464,0.46343,0.41724,0.36818
465,0.50000,0.45017,0.39724
466,0.53614,0.48271,0.42595
467,0.53614,0.48271,0.42595
468,0.53686,0.48336,0.42652
469,0.53758,0.48401,0.42710
470,0.53758,0.48401,0.42710
471,0.51293,0.46181,0.40751
472,0.48803,0.43940,0.38773
473,0.48803,0.43940,0.38773
474,0.48325,0.43510,0.38394
475,0.47847,0.43079,0.38014
476,0.47847,0.43079,0.38014
477,0.45841,0.41273,0.36420
478,0.43830,0.39462,0.34822
479,0.43830,0.39462,0.34822
