hour,nl_node_1,nl_node_2,nl_node_3
187,0.65857,0.54050,0.48263
188,0.65857,0.54050,0.48263
189,0.71157,0.58400,0.52147
190,0.76283,0.62607,0.55903
191,0.76283,0.62607,0.55903
192,0.83237,0.68314,0.60999
193,0.89565,0.73507,0.65636
194,0.89565,0.73507,0.65636
195,0.95777,0.78606,0.70189
196,1.00753,0.82690,0.73836
197,1.00753,0.82690,0.73836
198,1.01857,0.83596,0.74645
199,1.02850,0.84411,0.75372
200,1.02850,0.84411,0.75372
201,1.05185,0.86327,0.77083
202,1.06243,0.87196,0.77859
203,1.06243,0.87196,0.77859
204,1.06292,0.87236,0.77895
205,1.06247,0.87199,0.77862
206,1.06247,0.87199,0.77862
207,1.05975,0.86975,0.77662
208,1.05445,0.86541,0.77274
209,1.05445,0.86541,0.77274
210,1.04736,0.85959,0.76755
211,1.03801,0.85192,0.76070
212,1.03801,0.85192,0.76070
213,1.04770,0.85987,0.76780
214,1.05495,0.86582,0.77311
215,1.05495,0.86582,0.77311
216,1.05798,0.86830,0.77533
217,1.06028,0.87019,0.77701
218,1.06028,0.87019,0.77701
219,1.06243,0.87195,0.77859
220,1.05413,0.86514,0.77250
221,1.05413,0.86514,0.77250
222,1.03787,0.85180,0.76059
223,1.01410,0.83229,0.74317
224,1.01410,0.83229,0.74317
225,0.98878,0.81151,0.72462
226,0.95905,0.78711,0.70283
227,0.95905,0.78711,0.70283
228,0.89967,0.73838,0.65931
229,0.83083,0.68188,0.60887
230,0.83083,0.68188,0.60887
231,0.83064,0.68172,0.60873
232,0.83045,0.68157,0.60858
233,0.83045,0.68157,0.60858
234,0.76083,0.62443,0.55757
235,0.68657,0.56348,0.50315
236,0.68657,0.56348,0.50315
237,0.64726,0.53122,0.47434
238,0.60736,0.49847,0.44510
239,0.60736,0.49847,0.44510
240,0.58132,0.47710,0.42602
241,0.55518,0.45565,0.40686
242,0.55518,0.45565,0.40686
243,0.53919,0.44252,0.39514
244,0.52319,0.42939,0.38341
245,0.52319,0.42939,0.38341
246,0.48420,0.39740,0.35484
247,0.44546,0.36560,0.32645
248,0.44546,0.36560,0.32645
249,0.45095,0.37010,0.33047
250,0.45645,0.37461,0.33450
251,0.45645,0.37461,0.33450
252,0.38477,0.31579,0.28197
253,0.31566,0.25907,0.23133
254,0.31566,0.25907,0.23133
255,0.24610,0.20198,0.18035
256,0.18241,0.14970,0.13367
