hour,de_node
1,0.379582900
2,0.379582900
3,0.355410900
4,0.331570300
5,0.331570300
6,0.292757800
7,0.255280000
8,0.255280000
9,0.250719500
10,0.246184200
11,0.246184200
12,0.245662600
13,0.245141300
14,0.245141300
15,0.228612200
16,0.212462200
17,0.212462200
18,0.194237200
19,0.176596200
20,0.176596200
21,0.160887800
22,0.145740200
23,0.145740200
24,0.152702800
25,0.159790000
26,0.159790000
27,0.140032800
28,0.121321200
29,0.121321200
30,0.109990400
31,0.099129800
32,0.099129800
33,0.103156800
34,0.107251800
35,0.107251800
36,0.105936000
37,0.104627100
38,0.104627100
39,0.189551800
40,0.291167900
41,0.291167900
42,0.319183700
43,0.347809000
44,0.347809000
45,0.361419600
46,0.375132200
47,0.375132200
48,0.373245400
49,0.371360300
50,0.371360300
51,0.355499200
52,0.339781400
53,0.339781400
54,0.255571000
55,0.179067300
56,0.179067300
57,0.136087900
58,0.097951800
59,0.097951800
60,0.053231500
61,0.021825400
62,0.021825400
63,0.025848400
64,0.030251200
65,0.030251200
66,0.050387100
67,0.075480600
68,0.075480600
69,0.090079700
70,0.105796900
71,0.105796900
72,0.160165200
73,0.222705900
74,0.222705900
75,0.316553400
76,0.417874400
77,0.417874400
78,0.449156400
79,0.480623800
80,0.480623800
81,0.465628500
82,0.450661800
83,0.450661800
84,0.406546900
85,0.363109400
86,0.363109400
87,0.297597000
88,0.235698700
89,0.235698700
90,0.222920900
91,0.210379900
92,0.210379900
93,0.241434900
94,0.273798800
95,0.273798800
96,0.321566900
97,0.371107400
98,0.371107400
99,0.381968300
100,0.392883200
101,0.392883200
102,0.381208400
103,0.369595800
104,0.369595800
105,0.396107100
106,0.422899600
107,0.422899600
108,0.419057800
109,0.415220400
110,0.415220400
111,0.385906400
112,0.356964600
113,0.356964600
114,0.331414400
115,0.306309600
116,0.306309600
117,0.281111700
118,0.256528600
119,0.256528600
120,0.232210300
121,0.208685000
122,0.208685000
123,0.160055700
124,0.116494000
125,0.116494000
126,0.112806700
127,0.109169100
128,0.109169100
129,0.117879500
130,0.126864400
131,0.126864400
132,0.099423800
133,0.074906400
134,0.074906400
135,0.091490400
136,0.109504300
137,0.109504300
138,0.131478200
139,0.155040500
140,0.155040500
141,0.176552400
142,0.199071500
143,0.199071500
144,0.239967200
145,0.283192300
146,0.283192300
147,0.314895300
148,0.347406800
149,0.347406800
150,0.347727500
151,0.348048400
152,0.348048400
153,0.350855900
154,0.353668200
155,0.353668200
156,0.301214200
157,0.251041400
158,0.251041400
159,0.228860500
160,0.207356300
161,0.207356300
162,0.207417300
163,0.207478400
164,0.207478400
165,0.188841500
166,0.170839000
167,0.170839000
168,0.150991100
169,0.132104600
170,0.132104600
171,0.161228100
172,0.192497800
173,0.192497800
174,0.235272400
175,0.280692400
176,0.280692400
177,0.324259400
178,0.369265200
179,0.369265200
180,0.385715100
181,0.402284800
182,0.402284800
183,0.509714800
184,0.616770200
185,0.616770200
186,0.639319400
187,0.661595800
188,0.661595800
189,0.673802900
190,0.685904700
191,0.685904700
192,0.728085000
193,0.768480100
194,0.768480100
195,0.834608400
196,0.892092800
197,0.892092800
198,0.916532900
199,0.938199100
200,0.938199100
201,0.950280800
202,0.961122600
203,0.961122600
204,0.988336000
205,0.997551300
206,0.997551300
207,0.990315700
208,0.968711500
209,0.968711500
210,0.972099400
211,0.975265400
212,0.975265400
213,0.946121300
214,0.903800400
