hour,de_node
1,0.206351200
2,0.206351200
3,0.190827600
4,0.175786300
5,0.175786300
6,0.176777400
7,0.177770800
8,0.177770800
9,0.168318800
10,0.159088500
11,0.159088500
12,0.152005700
13,0.145069900
14,0.145069900
15,0.128726000
16,0.113359200
17,0.113359200
18,0.106063400
19,0.099037000
20,0.099037000
21,0.086455800
22,0.074935500
23,0.074935500
24,0.070367100
25,0.066005800
26,0.066005800
27,0.064128500
28,0.062293800
29,0.062293800
30,0.059137000
31,0.056118100
32,0.056118100
33,0.051155400
34,0.046637100
35,0.046637100
36,0.042903000
37,0.039560000
38,0.039560000
39,0.040802700
40,0.042104400
41,0.042104400
42,0.044667400
43,0.047427500
44,0.047427500
45,0.044851200
46,0.042445500
47,0.042445500
48,0.040518500
49,0.038720900
50,0.038720900
51,0.042792000
52,0.047464900
53,0.047464900
54,0.046254100
55,0.045079200
56,0.045079200
57,0.044743200
58,0.044410300
59,0.044410300
60,0.033604600
61,0.028331200
62,0.028331200
63,0.032076400
64,0.039397500
65,0.039397500
66,0.035535800
67,0.032433300
68,0.032433300
69,0.030224500
70,0.028729800
71,0.028729800
72,0.032903500
73,0.040361800
74,0.040361800
75,0.041063300
76,0.041782900
77,0.041782900
78,0.054440200
79,0.070718800
80,0.070718800
81,0.082898400
82,0.096366900
83,0.096366900
84,0.109724700
85,0.124036800
86,0.124036800
87,0.131324100
88,0.138817000
89,0.138817000
90,0.135696800
91,0.132611000
92,0.132611000
93,0.129275300
94,0.125981900
95,0.125981900
96,0.125714800
97,0.125448000
98,0.125448000
99,0.122965100
100,0.120507700
101,0.120507700
102,0.112122100
103,0.104062000
104,0.104062000
105,0.103046300
106,0.102036100
107,0.102036100
108,0.094551200
109,0.087403900
110,0.087403900
111,0.084993800
112,0.082626400
113,0.082626400
114,0.086471400
115,0.090427400
116,0.090427400
117,0.084019200
118,0.077910800
119,0.077910800
120,0.061154300
121,0.047533900
122,0.047533900
123,0.041823300
124,0.037042400
125,0.037042400
126,0.031928500
127,0.028840200
128,0.028840200
129,0.028015500
130,0.027919400
131,0.027919400
132,0.029257800
133,0.032466700
134,0.032466700
135,0.030770500
136,0.029469300
137,0.029469300
138,0.028655300
139,0.028129400
140,0.028129400
141,0.028264500
142,0.028428100
143,0.028428100
144,0.027892100
145,0.028060600
146,0.028060600
147,0.028314900
148,0.028673600
149,0.028673600
150,0.028597000
151,0.028524200
152,0.028524200
153,0.028497200
154,0.028470800
155,0.028470800
156,0.027871400
157,0.028653800
158,0.028653800
159,0.028863500
160,0.029098200
161,0.029098200
162,0.027983900
163,0.028047300
164,0.028047300
165,0.027970800
166,0.027915500
167,0.027915500
168,0.028058900
169,0.028298400
170,0.028298400
171,0.030811400
172,0.035482600
173,0.035482600
174,0.050025200
175,0.071352300
176,0.071352300
177,0.092668300
178,0.117464000
179,0.117464000
180,0.167187900
181,0.224329400
182,0.224329400
183,0.247230300
184,0.270820200
185,0.270820200
186,0.321955900
187,0.374824300
188,0.374824300
189,0.412007000
190,0.449318000
191,0.449318000
192,0.477660000
193,0.505782100
194,0.505782100
195,0.535596000
196,0.564851800
197,0.564851800
198,0.581579600
199,0.598033000
200,0.598033000
201,0.612127700
202,0.625969400
203,0.625969400
204,0.644269900
205,0.662017600
206,0.662017600
207,0.644807200
208,0.627074800
209,0.627074800
210,0.615567500
211,0.603880900
212,0.603880900
213,0.595040000
214,0.586110800
215,0.586110800
216,0.558908000
217,0.531091700
218,0.531091700
219,0.493241200
220,0.454855600
221,0.454855600
222,0.418154300
223,0.381531400
224,0.381531400
225,0.362649300
226,0.343900300
227,0.343900300
228,0.319506600
229,0.295496600
230,0.295496600
231,0.275423200
232,0.255744700
233,0.255744700
234,0.243002600
235,0.230471200
236,0.230471200
237,0.221994400
238,0.213629300
239,0.213629300
240,0.202183800
241,0.190977700
242,0.190977700
243,0.164676200
244,0.140083800
245,0.140083800
246,0.135852400
247,0.131683900
248,0.131683900
249,0.127774900
250,0.123925100
251,0.123925100
252,0.121276800
253,0.118658100
254,0.118658100
255,0.078569800
256,0.049031700
257,0.049031700
258,0.050255600
259,0.051511200
260,0.051511200
261,0.049942500
262,0.048423500
263,0.048423500
264,0.044737600
265,0.041393900
266,0.041393900
267,0.037315300
268,0.033938700
269,0.033938700
270,0.035035600
271,0.036219700
272,0.036219700
273,0.043971200
274,0.054041900
275,0.054041900
276,0.053160700
277,0.052293300
278,0.052293300
279,0.075369600
280,0.104868200
281,0.104868200
282,0.146060500
283,0.193578700
284,0.193578700
285,0.205737600
286,0.218170300
287,0.218170300
288,0.225568400
289,0.233051200
290,0.233051200
291,0.263091600
292,0.294173200
293,0.294173200
294,0.314138100
295,0.334382900
296,0.334382900
297,0.353463300
298,0.372702200
299,0.372702200
300,0.340876900
301,0.309562000
302,0.309562000
303,0.316187600
304,0.322843200
305,0.322843200
306,0.324188700
307,0.325535300
308,0.325535300
309,0.302156200
310,0.279196600
311,0.279196600
312,0.256104100
313,0.233625600
314,0.233625600
315,0.202692300
316,0.173446300
317,0.173446300
318,0.163834200
319,0.154461300
320,0.154461300
321,0.154889900
322,0.155319100
323,0.155319100
324,0.138562900
325,0.122726800
326,0.122726800
327,0.125421700
328,0.128146300
329,0.128146300
330,0.138096800
331,0.148404300
332,0.148404300
333,0.142450100
334,0.136611100
335,0.136611100
336,0.122289700
337,0.108782900
338,0.108782900
339,0.088922700
340,0.071492500
341,0.071492500
342,0.070740900
343,0.069995100
344,0.069995100
345,0.066565400
346,0.063266000
347,0.063266000
348,0.045250000
349,0.033326000
350,0.033326000
351,0.035683000
352,0.038441400
353,0.038441400
354,0.047441100
355,0.058945000
356,0.058945000
357,0.056569600
358,0.054280300
359,0.054280300
360,0.058056700
361,0.062060400
362,0.062060400
363,0.075714500
364,0.091329600
365,0.091329600
366,0.122523800
367,0.158473900
368,0.158473900
369,0.199682000
370,0.244435200
371,0.244435200
372,0.256730700
373,0.269206600
374,0.269206600
375,0.301430200
376,0.334493400
377,0.334493400
378,0.350684900
379,0.366995200
380,0.366995200
381,0.349813600
382,0.332765400
383,0.332765400
384,0.311717300
385,0.290979300
386,0.290979300
387,0.250419200
388,0.211808800
