hour,nl_node
1,0.458749300
2,0.458749300
3,0.411722600
4,0.364903500
5,0.364903500
6,0.345685300
7,0.326643000
8,0.326643000
9,0.279739400
10,0.234869400
11,0.234869400
12,0.197674900
13,0.162998300
14,0.162998300
15,0.133923100
16,0.107653300
17,0.107653300
18,0.086910200
19,0.068894100
20,0.068894100
21,0.041343400
22,0.028530200
23,0.028530200
24,0.031128400
25,0.000000000
26,0.048249700
27,0.038418400
28,0.031871400
29,0.031871400
30,0.028784100
31,0.027874200
32,0.027874200
33,0.031681400
34,0.042168900
35,0.042168900
36,0.038814000
37,0.035887100
38,0.035887100
39,0.040851400
40,0.046925400
41,0.046925400
42,0.044352600
43,0.041955000
44,0.041955000
45,0.063980200
46,0.094774800
47,0.094774800
48,0.134341200
49,0.180671700
50,0.180671700
51,0.223347400
52,0.269083000
53,0.269083000
54,0.238088700
55,0.208365000
56,0.208365000
57,0.154694000
58,0.108374900
59,0.108374900
60,0.061927000
61,0.034211000
62,0.034211000
63,0.033216500
64,0.032304000
65,0.032304000
66,0.028428500
67,0.000000000
68,0.041664900
69,0.038916500
70,0.000000000
71,0.036483800
72,0.032449600
73,0.074935800
74,0.074935800
75,0.101841800
76,0.133599400
77,0.133599400
78,0.171378300
79,0.213077600
80,0.213077600
81,0.258354200
82,0.306152800
83,0.306152800
84,0.306408000
85,0.306663400
86,0.306663400
87,0.241496300
88,0.181607500
89,0.181607500
90,0.138133100
91,0.100434300
92,0.100434300
93,0.108711900
94,0.117351200
95,0.117351200
96,0.146179900
97,0.177941100
98,0.177941100
99,0.182270300
100,0.186641800
101,0.186641800
102,0.206101100
103,0.226269700
104,0.226269700
105,0.256926800
106,0.288730300
107,0.288730300
108,0.309401000
109,0.330387200
110,0.330387200
111,0.288170200
112,0.247489100
113,0.247489100
114,0.240416600
115,0.233411000
116,0.233411000
117,0.232014500
118,0.230620900
119,0.230620900
120,0.205427500
121,0.181338100
122,0.181338100
123,0.183300700
124,0.185271900
125,0.185271900
126,0.177070200
127,0.169022800
128,0.169022800
129,0.161445700
130,0.154021500
131,0.154021500
132,0.141679000
133,0.129825900
134,0.129825900
135,0.127032700
136,0.124270000
137,0.124270000
138,0.108571700
139,0.094032400
140,0.094032400
141,0.097105700
142,0.100237100
143,0.100237100
144,0.118458000
145,0.138280700
146,0.138280700
147,0.136348700
148,0.134429900
149,0.134429900
150,0.117775700
151,0.102275500
152,0.102275500
153,0.102727300
154,0.103180200
155,0.103180200
156,0.077775100
157,0.057041500
158,0.057041500
159,0.033315100
160,0.028644600
161,0.028644600
162,0.032350100
163,0.052743200
164,0.052743200
165,0.050373800
166,0.048114100
167,0.048114100
168,0.038710200
169,0.032123900
170,0.032123900
171,0.035070400
172,0.038749500
173,0.038749500
174,0.056616300
175,0.081962800
176,0.081962800
177,0.129400000
178,0.187786900
179,0.187786900
180,0.202980700
181,0.218615100
182,0.218615100
183,0.248958600
184,0.280506600
185,0.280506600
186,0.347055600
187,0.415782700
188,0.415782700
189,0.467923800
190,0.519471900
191,0.519471900
192,0.576595900
193,0.630749200
194,0.630749200
195,0.668295300
196,0.703086300
197,0.703086300
198,0.714336800
199,0.725184900
200,0.725184900
201,0.753567500
202,0.778119700
203,0.778119700
204,0.784133700
205,0.789816200
206,0.789816200
207,0.790189000
208,0.790560300
209,0.790560300
210,0.801190300
211,0.810254500
212,0.810254500
213,0.804722600
214,0.798555200
215,0.798555200
216,0.792472100
217,0.785905500
218,0.785905500
219,0.743164500
220,0.689336100
221,0.689336100
222,0.665556600
223,0.640557600
224,0.640557600
225,0.619324300
226,0.597450700
227,0.597450700
228,0.568658100
229,0.539109700
230,0.539109700
231,0.523224300
232,0.507197400
233,0.507197400
234,0.461750700
235,0.415918400
236,0.415918400
237,0.410994500
238,0.406072900
239,0.406072900
240,0.406364800
241,0.406656700
242,0.406656700
243,0.390285900
244,0.373972400
245,0.373972400
246,0.337906700
247,0.302519500
248,0.302519500
249,0.297466800
250,0.292434800
251,0.292434800
252,0.283220900
253,0.274085300
254,0.274085300
255,0.205621200
256,0.144823700
257,0.144823700
258,0.165370600
259,0.187087200
260,0.187087200
261,0.174586000
262,0.162448300
263,0.162448300
264,0.129581700
265,0.100428600
266,0.100428600
267,0.070787300
268,0.048228100
269,0.048228100
270,0.063771400
271,0.083137500
272,0.083137500
273,0.118427500
274,0.160370600
275,0.160370600
276,0.204323900
277,0.252162100
278,0.252162100
279,0.278871200
280,0.306291200
281,0.306291200
282,0.385104100
283,0.465481500
284,0.465481500
285,0.476583000
286,0.487651400
287,0.487651400
288,0.514309300
289,0.540617800
290,0.540617800
291,0.542251900
292,0.543884200
293,0.543884200
294,0.571491000
295,0.598420200
296,0.598420200
297,0.589749900
298,0.580998400
299,0.580998400
300,0.548323700
301,0.514849100
302,0.514849100
303,0.492158600
304,0.469280500
305,0.469280500
306,0.468786200
307,0.468291700
308,0.468291700
309,0.432486800
310,0.396654600
311,0.396654600
312,0.347040900
313,0.298567600
314,0.298567600
315,0.239532600
316,0.184922000
317,0.184922000
318,0.167986200
319,0.151752300
320,0.151752300
321,0.146655500
322,0.141639700
323,0.141639700
324,0.132097600
325,0.122883500
326,0.122883500
327,0.118938400
328,0.115060500
329,0.115060500
330,0.141263900
331,0.170010900
332,0.170010900
333,0.161383000
334,0.152952900
335,0.152952900
336,0.143575100
337,0.134476600
338,0.134476600
339,0.108202400
340,0.085050300
341,0.085050300
342,0.091418000
343,0.098067800
344,0.098067800
345,0.097697400
346,0.097327900
347,0.097327900
348,0.076305900
349,0.058666900
350,0.058666900
351,0.058823600
352,0.058980700
353,0.058980700
354,0.079353900
355,0.104027200
356,0.104027200
357,0.111544300
358,0.119346200
359,0.119346200
360,0.132834000
361,0.147030700
362,0.147030700
363,0.187899900
364,0.232677500
365,0.232677500
366,0.318377800
367,0.409328700
368,0.409328700
369,0.435956000
370,0.462554600
371,0.462554600
372,0.470724000
373,0.478877800
374,0.478877800
375,0.508465500
376,0.537654800
377,0.537654800
378,0.510425300
379,0.482840100
380,0.482840100
381,0.462508800
382,0.442099000
383,0.442099000
384,0.370986100
385,0.301500100
386,0.301500100
387,0.186407300
388,0.095070000
389,0.095070000
390,0.065388700
391,0.043665900
392,0.043665900
393,0.050401200
394,0.058222000
395,0.058222000
396,0.113836900
397,0.190731100
398,0.190731100
399,0.216070000
400,0.242522000
401,0.242522000
402,0.254569500
403,0.266793300
404,0.266793300
405,0.262343000
406,0.257914800
407,0.257914800
408,0.246450100
409,0.235151500
410,0.235151500
411,0.210576500
412,0.187009300
413,0.187009300
414,0.176584400
415,0.166408900
416,0.166408900
417,0.173991200
418,0.181714600
419,0.181714600
420,0.190999400
421,0.200465300
422,0.200465300
423,0.250667100
424,0.304219800
425,0.304219800
426,0.300141000
427,0.296075500
428,0.296075500
429,0.277003900
430,0.258284200
431,0.258284200
432,0.241268700
433,0.224632500
434,0.224632500
435,0.190371900
436,0.158392100
437,0.158392100
438,0.125553500
439,0.096589100
440,0.096589100
441,0.078141200
442,0.062251600
443,0.062251600
444,0.057632800
445,0.053318100
446,0.053318100
447,0.068133300
448,0.085883000
449,0.085883000
450,0.099514400
451,0.114322400
452,0.114322400
453,0.114000500
454,0.113679100
455,0.113679100
456,0.112111500
457,0.110555700
458,0.110555700
459,0.116768700
460,0.123161100
461,0.123161100
462,0.122662900
463,0.122165700
464,0.122165700
465,0.117196300
466,0.112335500
467,0.112335500
468,0.123670000
469,0.135562100
470,0.135562100
471,0.171867800
472,0.211758200
473,0.211758200
474,0.229822800
475,0.248382300
476,0.248382300
477,0.241380100
478,0.234442800
479,0.234442800
480,0.229301700
481,0.224199500
482,0.224199500
483,0.204682400
484,0.185838000
485,0.185838000
486,0.199574900
487,0.213682200
488,0.213682200
489,0.204104100
490,0.194691600
491,0.194691600
492,0.175040200
493,0.156269700
494,0.156269700
495,0.144251700
496,0.132685700
497,0.132685700
498,0.149137800
499,0.166470800
500,0.166470800
501,0.160709900
502,0.155038400
503,0.155038400
504,0.151083700
505,0.147175700
506,0.147175700
507,0.151892000
508,0.156675800
509,0.156675800
510,0.160463000
511,0.164289900
512,0.164289900
513,0.170248800
514,0.176297700
515,0.176297700
516,0.153581100
517,0.132292300
518,0.132292300
519,0.143740200
520,0.155633300
521,0.155633300
522,0.188209000
523,0.223205000
524,0.223205000
525,0.221695100
526,0.220188800
527,0.220188800
528,0.206238600
529,0.192630700
530,0.192630700
531,0.187331500
532,0.182091400
533,0.182091400
534,0.180390100
535,0.178695400
536,0.178695400
537,0.174828600
538,0.170997200
539,0.170997200
540,0.157751200
541,0.144982800
542,0.144982800
543,0.154397700
544,0.164078700
545,0.164078700
546,0.172360500
547,0.180813500
548,0.180813500
549,0.176284300
550,0.171802800
551,0.171802800
552,0.175041200
553,0.178304800
554,0.178304800
555,0.163566900
556,0.149385900
557,0.149385900
558,0.138813600
559,0.128613600
560,0.128613600
561,0.113382100
562,0.099176600
563,0.099176600
564,0.079069700
565,0.061916600
566,0.061916600
567,0.054893700
568,0.048618200
569,0.048618200
570,0.047396000
571,0.046208300
572,0.046208300
573,0.046562700
574,0.046920100
575,0.046920100
576,0.050378300
577,0.054100500
578,0.054100500
579,0.061159000
580,0.068965100
581,0.068965100
582,0.070978300
583,0.073033700
584,0.073033700
585,0.095485600
586,0.121619500
587,0.121619500
588,0.103035100
589,0.086181000
590,0.086181000
591,0.082386000
592,0.078701600
593,0.078701600
594,0.105182400
595,0.136068900
596,0.136068900
597,0.127318000
598,0.118859500
599,0.118859500
600,0.114433300
601,0.110096600
602,0.110096600
603,0.122905200
604,0.136438000
605,0.136438000
606,0.145010300
607,0.153826300
608,0.153826300
609,0.134621800
610,0.116668900
611,0.116668900
612,0.090922700
613,0.069012000
614,0.069012000
615,0.067924000
616,0.066849100
617,0.066849100
618,0.067665900
619,0.068490300
620,0.068490300
621,0.045071900
622,0.031251200
623,0.031251200
624,0.028871300
625,0.027892300
626,0.027892300
627,0.032318100
628,0.043952500
629,0.043952500
630,0.082171800
631,0.138721900
632,0.138721900
633,0.219563900
634,0.312869700
635,0.312869700
636,0.425596000
637,0.538543200
638,0.538543200
639,0.597633400
640,0.652945900
